시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,탈압박,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
2021,울산,1R,강원(H),2,설영우,DF,66,88,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,87,74,85,1,30,20,67,30,28,93.3,27,26,96.3,10,9,90.0,27,20,74.1,50,45,90.0,1,0,0.0,25,21,84.0,61,53,86.9,0,0,0.0,5,4,80.0,2,2,100.0,1,0,0.0,4,1,6,7,1,0,1,1,0,0,0,2021.0,강원(H),2.0,right,LB,정발x
2021,울산,1R,강원(H),3,불투이스,DF,4,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75,70,93,0,35,30,86,12,12,100.0,28,28,100.0,0,0,0.0,43,42,97.7,32,28,87.5,5,3,60.0,45,43,95.6,25,24,96.0,0,0,0.0,2,2,100.0,4,4,100.0,1,1,100.0,5,7,3,4,1,0,1,0,0,0,0,2021.0,강원(H),3.0,left,CB1,정발
2021,울산,1R,강원(H),4,김기희,DF,44,94,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,60,55,92,0,33,28,85,6,6,100.0,21,21,100.0,1,1,100.0,33,30,90.9,26,24,92.3,6,5,83.3,35,32,91.4,19,18,94.7,0,0,0.0,3,2,66.7,5,3,60.0,1,1,100.0,3,2,3,11,1,0,1,0,0,0,0,2021.0,강원(H),4.0,right,CB2,정발
2021,울산,1R,강원(H),5,김태환,DF,23,94,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,71,60,85,1,25,20,80,15,14,93.3,31,26,83.9,26,19,73.1,11,9,81.8,34,32,94.1,6,4,66.7,22,18,81.8,43,38,88.4,7,2,28.6,6,5,83.3,1,0,0.0,3,3,100.0,1,1,3,5,1,0,1,0,0,0,0,2021.0,강원(H),5.0,right,RB,정발
2021,울산,2R,광주(A),2,김기희,DF,44,97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62,50,81,0,34,23,68,4,4,100.0,24,23,95.8,0,0,0.0,29,22,75.9,33,28,84.8,8,3,37.5,29,23,79.3,25,24,96.0,0,0,0.0,3,3,100.0,4,3,75.0,0,0,0.0,6,4,5,10,0,0,1,1,0,0,0,2021.0,광주(A),2.0,right,CB2,정발
2021,울산,2R,광주(A),3,불투이스,DF,4,97,0,0,2,1,1,0,2,0,0,1,0,0,0,0,0,57,46,81,0,40,29,73,5,5,100.0,12,12,100.0,0,0,0.0,35,29,82.9,22,17,77.3,11,6,54.6,29,25,86.2,17,15,88.2,0,0,0.0,6,4,66.7,9,8,88.9,3,2,66.7,1,3,12,7,1,0,1,0,1,0,0,2021.0,광주(A),3.0,left,CB1,정발
2021,울산,2R,광주(A),4,김태환,DF,23,97,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,63,52,83,0,25,17,68,23,23,100.0,15,12,80.0,17,14,82.4,16,13,81.2,30,25,83.3,4,1,25.0,21,17,81.0,38,34,89.5,2,0,0.0,5,2,40.0,2,1,50.0,0,0,0.0,0,2,5,10,1,1,2,1,0,0,0,2021.0,광주(A),4.0,right,RB,정발
2021,울산,2R,광주(A),5,설영우,DF,66,97,0,0,1,0,1,0,0,1,0,1,0,12,0,0,0,81,69,85,0,38,27,71,19,19,100.0,24,23,95.8,9,8,88.9,23,17,73.9,49,44,89.8,10,7,70.0,22,21,95.4,49,41,83.7,0,0,0.0,7,7,100.0,5,1,20.0,1,0,0.0,4,1,10,9,2,1,2,1,0,0,0,2021.0,광주(A),5.0,right,LB,정발x
2021,울산,3R,인천(H),2,김기희,DF,44,96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71,63,89,0,25,18,72,8,8,100.0,38,37,97.4,1,1,100.0,39,33,84.6,31,29,93.6,8,4,50.0,43,41,95.4,20,18,90.0,0,0,0.0,2,2,100.0,5,2,40.0,0,0,0.0,3,4,4,7,1,0,0,0,0,0,0,2021.0,인천(H),2.0,right,CB2,정발
2021,울산,3R,인천(H),3,불투이스,DF,4,96,0,0,2,1,0,1,2,0,0,4,0,0,1,1,100,74,66,89,0,38,30,79,6,6,100.0,30,30,100.0,0,0,0.0,33,29,87.9,41,37,90.2,11,7,63.6,36,35,97.2,27,24,88.9,0,0,0.0,7,6,85.7,8,7,87.5,0,0,0.0,0,2,7,3,0,0,1,2,0,0,0,2021.0,인천(H),3.0,left,CB1,정발
2021,울산,3R,인천(H),4,홍철,DF,33,85,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,70,59,84,0,35,24,69,19,19,100.0,16,16,100.0,10,7,70.0,17,11,64.7,43,41,95.4,11,6,54.6,30,24,80.0,29,29,100.0,2,0,0.0,10,3,30.0,3,1,33.3,0,0,0.0,2,2,4,4,0,1,0,1,0,0,0,2021.0,인천(H),4.0,left,LB,정발
2021,울산,3R,인천(H),5,김태환,DF,23,96,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,83,71,86,0,30,22,73,25,25,100.0,28,24,85.7,17,12,70.6,15,13,86.7,51,46,90.2,8,7,87.5,23,20,87.0,52,44,84.6,3,0,0.0,10,5,50.0,0,0,0.0,0,0,0.0,0,2,4,9,0,1,2,0,0,0,0,2021.0,인천(H),5.0,right,RB,정발
2021,울산,4R,포항(A),2,불투이스,DF,4,94,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,35,26,74,0,16,9,56,3,3,100.0,16,14,87.5,0,0,0.0,16,12,75.0,19,14,73.7,8,3,37.5,17,14,82.4,10,9,90.0,0,0,0.0,5,3,60.0,5,3,60.0,2,1,50.0,4,2,2,6,3,0,0,0,0,0,0,2021.0,포항(A),2.0,left,CB1,정발
2021,울산,4R,포항(A),3,김기희,DF,44,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,77,0,9,4,44,2,2,100.0,11,11,100.0,0,0,0.0,10,7,70.0,12,10,83.3,3,0,0.0,13,13,100.0,6,4,66.7,0,0,0.0,1,1,100.0,9,8,88.9,0,0,0.0,10,3,2,0,0,0,1,1,0,0,0,2021.0,포항(A),3.0,right,CB2,정발
2021,울산,4R,포항(A),4,홍철,DF,33,84,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,43,32,74,0,29,19,66,10,10,100.0,4,3,75.0,0,0,0.0,14,8,57.1,29,24,82.8,7,2,28.6,20,16,80.0,16,14,87.5,0,0,0.0,10,5,50.0,5,2,40.0,1,0,0.0,6,3,7,12,0,0,1,0,1,0,0,2021.0,포항(A),4.0,left,LB,정발
2021,울산,4R,포항(A),5,김태환,DF,23,94,0,0,0,0,0,0,0,0,0,2,0,9,1,0,0,37,31,84,0,19,13,68,6,6,100.0,12,12,100.0,13,12,92.3,12,9,75.0,12,10,83.3,4,1,25.0,9,9,100.0,24,21,87.5,0,0,0.0,4,4,100.0,0,0,0.0,0,0,0.0,3,3,3,5,1,0,3,1,0,0,0,2021.0,포항(A),5.0,right,RB,정발
2021,울산,5R,제주(H),2,김태환,DF,23,94,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,84,67,80,0,29,17,59,23,23,100.0,32,27,84.4,20,16,80.0,19,15,79.0,45,36,80.0,10,4,40.0,28,22,78.6,46,41,89.1,3,0,0.0,4,2,50.0,0,0,0.0,0,0,0.0,2,1,2,9,0,1,0,2,0,0,0,2021.0,제주(H),2.0,right,RB,정발
2021,울산,5R,제주(H),3,설영우,DF,66,94,0,0,1,0,1,0,1,0,0,3,0,10,0,0,0,100,91,91,0,40,31,78,37,37,100.0,23,23,100.0,8,6,75.0,20,17,85.0,72,68,94.4,6,2,33.3,42,37,88.1,52,52,100.0,0,0,0.0,10,8,80.0,4,1,25.0,0,0,0.0,1,5,5,6,1,0,1,4,0,0,0,2021.0,제주(H),3.0,right,LB,정발x
2021,울산,5R,제주(H),4,김기희,DF,44,94,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,100,91,91,0,50,43,86,4,4,100.0,46,44,95.6,2,2,100.0,55,49,89.1,43,40,93.0,8,4,50.0,56,55,98.2,36,32,88.9,0,0,0.0,3,2,66.7,12,5,41.7,0,0,0.0,1,4,3,16,1,0,1,0,0,0,0,2021.0,제주(H),4.0,right,CB2,정발
2021,울산,5R,제주(H),5,불투이스,DF,4,94,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,117,106,91,1,54,43,80,7,7,100.0,56,56,100.0,0,0,0.0,62,56,90.3,55,50,90.9,15,7,46.7,60,58,96.7,42,41,97.6,0,0,0.0,2,2,100.0,8,4,50.0,1,1,100.0,0,2,4,11,1,0,1,1,0,0,0,2021.0,제주(H),5.0,left,CB1,정발
2021,울산,6R,대구(A),2,김기희,DF,44,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,100,0,20,20,100,2,2,100.0,28,28,100.0,0,0,0.0,14,14,100.0,36,36,100.0,5,5,100.0,28,28,100.0,17,17,100.0,0,0,0.0,4,0,0.0,1,1,100.0,1,1,100.0,2,1,4,7,0,0,0,0,0,0,0,2021.0,대구(A),2.0,right,CB2,정발
2021,울산,6R,대구(A),3,김태환,DF,23,96,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,85,70,82,1,37,27,73,19,19,100.0,29,24,82.8,27,20,74.1,13,11,84.6,45,39,86.7,10,4,40.0,26,22,84.6,49,44,89.8,4,0,0.0,5,1,20.0,0,0,0.0,1,1,100.0,2,1,1,9,0,0,3,0,0,0,0,2021.0,대구(A),3.0,right,RB,정발
2021,울산,6R,대구(A),4,불투이스,DF,4,96,1,0,2,1,0,1,1,1,0,3,0,0,0,0,0,79,68,86,0,56,46,82,2,2,100.0,21,20,95.2,0,0,0.0,23,20,87.0,56,48,85.7,16,9,56.2,33,31,93.9,30,28,93.3,0,0,0.0,6,2,33.3,11,9,81.8,2,0,0.0,4,4,5,10,1,0,1,0,0,0,0,2021.0,대구(A),4.0,left,CB1,정발
2021,울산,6R,대구(A),5,설영우,DF,66,96,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,103,92,89,0,37,28,76,27,27,100.0,39,37,94.9,17,16,94.1,15,12,80.0,71,64,90.1,11,8,72.7,38,32,84.2,54,52,96.3,1,0,0.0,6,3,50.0,1,1,100.0,0,0,0.0,2,3,6,8,0,0,2,1,0,0,0,2021.0,대구(A),5.0,right,LB,정발x
2021,울산,7R,성남(A),2,홍철,DF,33,95,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,102,84,82,1,45,30,67,35,35,100.0,22,19,86.4,20,15,75.0,26,20,76.9,56,49,87.5,10,3,30.0,35,29,82.9,57,52,91.2,3,1,33.3,6,4,66.7,0,0,0.0,1,0,0.0,2,1,2,10,0,0,0,1,0,0,0,2021.0,성남(A),2.0,left,LB,정발
2021,울산,7R,성남(A),3,불투이스,DF,4,95,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,71,63,89,0,33,26,79,5,5,100.0,33,32,97.0,1,1,100.0,30,25,83.3,40,37,92.5,8,5,62.5,34,33,97.1,29,25,86.2,0,0,0.0,2,2,100.0,5,2,40.0,1,1,100.0,3,1,3,10,1,0,2,0,0,0,0,2021.0,성남(A),3.0,left,CB1,정발
2021,울산,7R,성남(A),4,김기희,DF,44,95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,44,86,0,25,18,72,4,4,100.0,22,22,100.0,0,0,0.0,21,17,81.0,30,27,90.0,10,6,60.0,28,26,92.9,13,12,92.3,0,0,0.0,3,1,33.3,9,5,55.6,0,0,0.0,2,1,5,9,0,0,3,0,0,0,0,2021.0,성남(A),4.0,right,CB2,정발
2021,울산,7R,성남(A),5,김태환,DF,23,95,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,74,59,80,1,34,23,68,13,13,100.0,27,23,85.2,17,11,64.7,9,5,55.6,48,43,89.6,14,12,85.7,21,15,71.4,39,32,82.0,5,2,40.0,10,5,50.0,1,0,0.0,0,0,0.0,2,0,4,5,0,1,4,0,0,0,0,2021.0,성남(A),5.0,right,RB,정발
2021,울산,8R,서울(H),2,불투이스,DF,4,100,0,0,2,1,1,0,1,1,0,3,0,0,0,0,0,69,56,81,0,38,25,66,7,7,100.0,24,24,100.0,1,0,0.0,25,20,80.0,43,36,83.7,22,17,77.3,31,26,83.9,16,13,81.2,1,0,0.0,3,2,66.7,9,6,66.7,0,0,0.0,4,0,6,11,1,0,0,1,0,0,0,2021.0,서울(H),2.0,left,CB1,정발
2021,울산,8R,서울(H),3,김기희,DF,44,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,63,91,0,32,26,81,5,5,100.0,32,32,100.0,3,1,33.3,35,35,100.0,31,27,87.1,9,9,100.0,38,34,89.5,22,20,90.9,1,0,0.0,1,1,100.0,3,3,100.0,0,0,0.0,3,1,3,11,0,0,0,0,0,0,1,2021.0,서울(H),3.0,right,CB2,정발
