Unnamed: 0.1,시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
1,2022,울산,1R,김천(H),2,김영권,DF,19,95,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,74,68,92,0,43,38,88,4,4,100.0,27,26,96.3,5,5,100.0,18,16,88.9,51,47,92.2,9,6,66.7,38,36,94.7,27,26,96.3,0,0,0.0,0,3,3,100.0,5,2,40.0,1,0,0.0,6,7,3,7,0,0,1,1,1,0,2022,김천(H),2,left,CB1,정발
2,2022,울산,1R,김천(H),3,김태환,DF,23,95,0,0,0,0,0,0,0,0,0,3,0,9,4,3,75,54,50,93,2,15,12,80,17,17,100.0,22,21,95.4,24,23,95.8,10,9,90.0,20,18,90.0,3,3,100.0,13,11,84.6,38,36,94.7,11,3,27.3,2,0,0,0.0,0,0,0.0,0,0,0.0,3,6,3,9,4,2,1,1,0,0,2022,김천(H),3,right,RB,정발
3,2022,울산,1R,김천(H),4,임종은,DF,5,95,0,0,2,0,1,1,1,1,0,0,0,0,1,1,100,61,55,90,0,25,20,80,9,9,100.0,27,26,96.3,1,1,100.0,23,21,91.3,37,33,89.2,7,5,71.4,28,26,92.9,26,24,92.3,0,0,0.0,0,1,1,100.0,3,2,66.7,0,0,0.0,9,4,1,7,1,0,1,0,0,0,2022,김천(H),4,right,CB2,정발
4,2022,울산,1R,김천(H),5,설영우,DF,66,95,0,0,3,0,1,2,1,2,0,2,0,6,0,0,0,70,66,94,2,27,23,85,22,22,100.0,21,21,100.0,22,22,100.0,7,5,71.4,41,39,95.1,4,3,75.0,16,15,93.8,50,48,96.0,2,0,0.0,0,2,1,50.0,1,1,100.0,1,1,100.0,2,4,2,5,4,1,1,1,0,0,2022,김천(H),5,right,LB,정발x
19,2022,울산,2R,성남(A),2,김태환,DF,23,94,0,0,0,0,0,0,0,0,0,4,0,8,1,1,100,73,61,84,0,21,12,57,26,25,96.2,26,24,92.3,27,24,88.9,13,10,76.9,33,27,81.8,8,3,37.5,22,19,86.4,43,39,90.7,7,0,0.0,0,1,0,0.0,1,1,100.0,2,0,0.0,1,2,1,5,0,0,0,0,0,0,2022,성남(A),2,right,RB,정발
20,2022,울산,2R,성남(A),3,임종은,DF,5,94,0,0,1,1,0,0,1,0,0,3,0,0,0,0,0,71,67,94,0,35,31,89,7,7,100.0,29,29,100.0,0,0,0.0,34,33,97.1,37,34,91.9,13,11,84.6,36,34,94.4,22,22,100.0,0,0,0.0,0,2,1,50.0,4,3,75.0,2,2,100.0,6,9,3,1,2,0,1,1,0,0,2022,성남(A),3,right,CB2,정발
21,2022,울산,2R,성남(A),4,김영권,DF,19,94,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,69,64,93,0,29,24,83,14,14,100.0,26,26,100.0,0,0,0.0,35,32,91.4,34,32,94.1,5,3,60.0,28,27,96.4,36,34,94.4,0,0,0.0,0,2,1,50.0,4,3,75.0,0,0,0.0,6,6,1,1,2,1,0,0,0,0,2022,성남(A),4,left,CB1,정발
22,2022,울산,2R,성남(A),5,설영우,DF,66,94,0,0,1,0,0,1,1,0,0,3,0,6,0,0,0,72,67,93,0,16,14,88,27,26,96.3,29,27,93.1,21,20,95.2,9,8,88.9,42,39,92.9,5,3,60.0,15,15,100.0,52,49,94.2,4,0,0.0,0,0,0,0.0,4,4,100.0,0,0,0.0,1,1,2,6,0,0,0,3,0,0,2022,성남(A),5,right,LB,정발x
37,2022,울산,3R,수원FC(H),2,김태환,DF,23,94,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,76,68,89,1,15,9,60,36,36,100.0,25,23,92.0,37,31,83.8,5,5,100.0,34,32,94.1,3,1,33.3,17,15,88.2,56,52,92.9,5,1,20.0,2,0,0,0.0,1,0,0.0,0,0,0.0,2,3,2,7,2,0,1,0,0,0,2022,수원FC(H),2,right,RB,정발
38,2022,울산,3R,수원FC(H),3,김기희,DF,44,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75,70,93,1,29,25,86,0,0,0.0,46,45,97.8,3,2,66.7,11,11,100.0,61,57,93.4,6,2,33.3,36,36,100.0,33,32,97.0,1,0,0.0,0,3,2,66.7,10,8,80.0,0,0,0.0,13,3,3,2,0,0,0,0,0,0,2022,수원FC(H),3,right,CB2,정발
