시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
2023,울산,1R,전북(H),2,설영우,DF,66,99,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,34,28,82,0,14,8,57,11,11,100.0,9,9,100.0,8,7,87.5,7,5,71.4,19,16,84.2,3,3,100.0,10,7,70.0,21,18,85.7,0,0,0.0,0,0,0,0.0,4,2,50.0,1,0,0.0,8,2,4,5,3,1,0,2,0,0,2023,전북(H),2,right,LB,정발x
2023,울산,1R,전북(H),3,김영권,DF,19,99,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,52,38,73,1,29,16,55,8,8,100.0,15,14,93.3,2,1,50.0,22,18,81.8,28,19,67.9,17,8,47.1,23,19,82.6,12,11,91.7,0,0,0.0,0,2,0,0.0,5,3,60.0,2,0,0.0,12,6,3,2,3,0,1,1,0,0,2023,전북(H),3,left,CB1,정발
2023,울산,1R,전북(H),4,김태환,DF,23,99,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,33,23,70,2,19,9,47,5,5,100.0,9,9,100.0,11,7,63.6,10,8,80.0,12,8,66.7,2,0,0.0,10,5,50.0,21,18,85.7,7,1,14.3,0,2,1,50.0,3,1,33.3,3,1,33.3,6,3,3,10,1,0,1,2,1,0,2023,전북(H),4,right,RB,정발
2023,울산,1R,전북(H),5,정승현,DF,15,99,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,29,22,76,0,14,7,50,3,3,100.0,12,12,100.0,1,1,100.0,15,12,80.0,13,9,69.2,9,4,44.4,10,10,100.0,10,8,80.0,0,0,0.0,0,0,0,0.0,5,4,80.0,1,1,100.0,12,1,1,4,2,0,1,1,0,0,2023,전북(H),5,right,CB2,정발
2023,울산,2R,강원(A),2,정승현,DF,15,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,49,88,0,27,21,78,5,5,100.0,24,23,95.8,1,0,0.0,19,16,84.2,36,33,91.7,10,6,60.0,31,29,93.6,15,14,93.3,0,0,0.0,1,1,0,0.0,7,6,85.7,2,2,100.0,20,4,1,1,4,0,1,0,1,0,2023,강원(A),2,right,CB2,정발
2023,울산,2R,강원(A),2,정승현,DF,15,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,49,88,0,27,21,78,5,5,100.0,24,23,95.8,1,0,0.0,19,16,84.2,36,33,91.7,10,6,60.0,31,29,93.6,15,14,93.3,0,0,0.0,1,1,0,0.0,7,6,85.7,2,2,100.0,20,4,1,1,4,0,1,0,1,0,2023,강원(A),2,right,CB2,정발
2023,울산,2R,강원(A),3,김영권,DF,19,97,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,53,52,98,0,27,26,96,6,6,100.0,20,20,100.0,1,1,100.0,13,13,100.0,39,38,97.4,6,5,83.3,25,25,100.0,22,22,100.0,1,0,0.0,0,1,1,100.0,4,3,75.0,1,0,0.0,16,8,3,1,2,0,0,0,0,0,2023,강원(A),3,left,CB1,정발
2023,울산,2R,강원(A),3,김영권,DF,19,97,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,53,52,98,0,27,26,96,6,6,100.0,20,20,100.0,1,1,100.0,13,13,100.0,39,38,97.4,6,5,83.3,25,25,100.0,22,22,100.0,1,0,0.0,0,1,1,100.0,4,3,75.0,1,0,0.0,16,8,3,1,2,0,0,0,0,0,2023,강원(A),3,left,CB1,정발
2023,울산,2R,강원(A),4,설영우,DF,66,97,0,0,2,0,0,2,1,1,0,0,0,13,2,2,100,57,53,93,0,19,16,84,19,19,100.0,19,18,94.7,9,8,88.9,11,9,81.8,37,36,97.3,1,0,0.0,18,17,94.4,38,36,94.7,1,0,0.0,0,0,0,0.0,1,0,0.0,0,0,0.0,4,5,1,5,0,0,0,2,1,0,2023,강원(A),4,right,LB,정발x
2023,울산,2R,강원(A),4,설영우,DF,66,97,0,0,2,0,0,2,1,1,0,0,0,13,2,2,100,57,53,93,0,19,16,84,19,19,100.0,19,18,94.7,9,8,88.9,11,9,81.8,37,36,97.3,1,0,0.0,18,17,94.4,38,36,94.7,1,0,0.0,0,0,0,0.0,1,0,0.0,0,0,0.0,4,5,1,5,0,0,0,2,1,0,2023,강원(A),4,right,LB,정발x
