지표,U value,표준오차,표준화된 검정 통계랑,p-value,평균순위(정발),평균순위(정발x),우위
프리킥,73115,2645.04,3.115,0.002,384.82,339.03,정발x
코너킥,79370.5,1950.071,7.433,0.001,402.89,322.35,정발x
패스시도,567168,2793.577,-2.902,0.004,337.57,382.62,정발
패스성공,55347,2793.537,-3.411,0.001,333.46,386.41,정발
패스성공%,54124,2792.121,-3.85,0.001,329.93,389.67,정발
키패스,75004.5,2514.614,4.028,0.001,390.28,333.99,정발x
전방패스성공,54730,2790.765,-3.635,0.001,331.68,388.05,정발
전방패스성공%,49320.5,2793.092,-5.569,0.001,316.04,402.48,정발
횡패스시도,54412.5,2791.994,-3.747,0.001,330.76,388.9,정발
횡패스성공,54573.5,2791.598,-3.69,0.001,331.23,388.47,정발
수비진영패스시도,56910.5,2788.789,-2.856,0.004,337.98,382.24,정발
수비진영패스성공,54573,2786.32,-3.697,0.001,331.23,388.47,정발
수비진영패스성공%,56076.5,2788.955,-3.15,0.002,335.57,384.46,정발
중앙진영패스시도,58964.5,2793.048,-2.116,0.034,343.92,376.76,정발
중앙진영패스성공,57281,2792.922,-2.719,0.007,339.95,381.25,정발
중앙진영패스성공%,53843.5,2793.648,-3.949,0.001,329.12,390.42,정발
롱패스시도,75425,2780.148,3.795,0.001,391.49,332.87,정발x
롱패스성공%,56229.5,2783.63,-3.106,0.002,336.01,384.05,정발
중거리패스시도,56124.5,2791.335,-3.135,0.002,335.71,384.33,정발
중거리패스성공,55704.5,2790.919,-3.286,0.001,334.5,385.45,정발
단거리패스시도,56819,2793.133,-2.884,0.004,337.72,382.48,정발
단거리패스성공,57195,2792.993,-2.75,0.006,338.8,381.48,정발
크로스시도,88992,2769.531,8.708,0,430.7,296.6,정발x
크로스성공,79640.5,2466.566,5.986,0.001,403.67,321.63,정발x
크로스성공%,75289,2488.006,4.186,0.001,391.1,333.23,정발x
지상경합성공,56085,2744.844,-3.202,0.001,335.6,384.44,정발
지상경합성공%,59084,2713.24,-2.134,0.033,344.26,376.44,정발
공중경합성공%,56872,2744.104,-2.916,0.004,337.87,382.34,정발
획득,59221,2768.061,-2.043,0.041,343.66,376.08,정발
