지표,U value,표준오차,표준화된 검정 통계랑,p-value,평균순위(정발),평균순위(정발x),우위
PA외 슈팅,56107.000,1619.156,1.988,0.047,365.80,343.95,정발x
코너킥,46658.000,1079.228,-5.773,0.001,347.31,389.60,정발
스로인,67809.500,2510.538,5.943,0.001,388.70,287.42,정발x
패스시도,68642.000,2517.110,6.259,0.001,390.33,283.40,정발x
패스성공,67085.000,2517.105,5.640,0.001,387.28,290.92,정발x
후방패스시도,72188.000,2515.265,7.673,0.001,397.27,262.27,정발x
후방패스성공,72272.000,2515.235,7.706,0.001,397.43,265.86,정발x
횡패스시도,66881.000,2516.183,5.561,0.001,386.88,291.90,정발x
횡패스성공,66280.500,2516.042,5.323,0.001,385.71,294.80,정발x
공격진영패스시도,74730.000,2515.457,8.683,0.000,402.24,253.99,정발x
공격진영패스성공,74525.000,2514.520,8.605,0.000,401.84,254.98,정발x
중앙진영패스시도,66368.500,2516.678,5.356,0.001,385.88,294.38,정발x
중앙진영패스성공,65140.500,2516.597,4.868,0.001,383.48,300.31,정발x
중거리패스시도,61420.000,2515.601,3.391,0.001,376.20,318.29,정발x
중거리패스성공,60137.500,2515.330,2.882,0.004,373.69,324.48,정발x
단거리패스시도,72575.000,2516.622,7.823,0.001,398.03,264.40,정발x
단거리패스성공,71700.000,2516.515,7.475,0.001,396.31,268.62,정발x
크로스시도,59203.500,2491.282,2.535,0.011,371.86,328.99,정발x
지상경합성공,63282.000,2467.857,4.212,0.001,379.84,309.29,정발x
지상경합성공%,60531.500,2443.421,3.128,0.002,374.46,322.58,정발x
공중경합시도,57976.500,2440.002,2.085,0.037,369.46,334.92,정발x
인터셉트,45262.500,2487.953,-3.065,0.002,344.58,396.34,정발
볼미스,47939.500,2440.083,-2.028,0.043,349.82,383.41,정발
