지표,U value,표준오차,표준화된 검정 통계랑,p-value,평균순위(정발),평균순위(정발x),우위
스로인,288294,7713.012,5.044,0.001,765.4,653.15,정발x
패스시도,268137.5,7735.38,2.424,0.015,741.88,687.78,정발x
패스성공%,228404,7731.239,-2.714,0.007,695.52,756.05,정발
키패스,273754,6892.154,3.535,0.001,748.44,678.13,정발x
전방패스성공%,208779,7733.86,-5.251,0.001,672.62,789.77,정발
후방패스시도,284260.5,7729.906,4.512,0.001,760.69,660.08,정발x
후방패스성공,284420.5,7729.853,4.532,0.001,760.88,659.8,정발x
공격진영패스시도,294226.5,7730.042,5.801,0.001,772.32,642.96,정발x
공격진영패스성공,292242,7726.899,5.546,0.001,770.01,646.37,정발x
중앙진영패스시도,266369,7733.982,2.196,0.028,739.82,690.82,정발x
중앙진영패스성공%,221283,7735.514,-3.633,0.001,687.21,768.29,정발
롱패스시도,272667.5,7698.409,3.024,0.002,747.17,680,정발x
롱패스성공%,232315.5,7710.355,-2.214,0.027,700.08,749.33,정발
단거리패스시도,273417.5,7734.022,3.107,0.002,748.04,678.71,정발x
단거리패스성공,271894.5,7733.72,2.91,0.004,746.26,681.33,정발x
크로스시도,308405.5,7663.011,7.702,0.001,788.87,618.59,정발x
크로스성공,282979.5,6870.497,4.889,0.001,759.2,662.28,정발x
크로스성공%,273665.5,6944.35,3.496,0.001,748.33,678.28,정발x
공중경합성공,233080,7602.703,-2.145,0.032,700.97,748.02,정발
공중경합성공%,227546,7581.043,-2.881,0.004,694.51,757.53,정발
태클시도,231981.5,7507.47,-2.318,0.02,699.69,749.91,정발
인터셉트,225348.5,7639.5,-3.147,0.002,691.95,761.3,정발
